sharpness,luminance,information,corfulnessss,class
0.7207,0.0836,4.3294,15.573,dark
0.5813,0.0962,4.0406,4.7876,dark
0.8884,0.1101,4.1531,9.2188,dark
0.8885,0.1046,4.0425,7.3483,dark
0.6519,0.1072,4.1669,7.2713,dark
0.579,0.1027,4.3536,6.8702,dark
0.6944,0.0944,4.4886,16.4162,dark
0.8762,0.1063,4.4171,20.1081,dark
0.876,0.0988,4.3643,19.4095,dark
0.8011,0.0818,4.3849,9.7784,dark
0.7151,0.0984,4.0776,7.2227,dark
0.4636,0.4392,5.0335,6.7689,dark
0.4757,0.433,4.9642,6.6527,dark
0.5166,0.4105,4.9309,6.8272,dark
0.526,0.4103,4.7978,4.3348,dark
0.4825,0.4295,4.8366,5.3078,dark
0.7658,0.214,4.7852,13.006,dark
0.6818,0.1886,5.0652,17.706,dark
0.5483,0.1695,5.1398,19.585,dark
0.4201,0.1888,5.1113,16.0193,dark
0.4805,0.1713,5.1639,17.3341,dark
0.0224,0.455,5.2972,17.8267,normal
0.0364,0.4685,5.2274,21.3035,normal
0.0239,0.4653,5.251,20.8318,normal
0.0325,0.4703,5.282,22.168,normal
0.0416,0.461,5.2798,16.6637,normal
0.0323,0.4541,5.25,28.4735,normal
0.0798,0.4911,5.0492,6.4901,normal
0.0612,0.4898,5.0428,5.3376,normal
0.0324,0.5016,5.0911,6.6169,normal
0.0874,0.4685,5.4004,7.7105,normal
0.0387,0.4773,5.4054,6.4521,normal
0.2605,0.1825,5.1298,10.1013,normal
0.256,0.1783,5.1294,9.5566,normal
0.1495,0.4488,5.3502,38.9234,normal
0.0586,0.4713,5.2323,41.2705,normal
0.02,0.4801,4.8531,48.2339,normal
0.0294,0.4878,5.122,42.7489,normal
0.0609,0.4323,4.7101,15.597,normal
0.0506,0.4236,4.5525,13.9325,normal
0.3416,0.1814,4.7553,18.0088,normal
0.5092,0.4924,5.0616,22.0781,normal
0.4085,0.1871,4.4427,48.5489,normal
0.4097,0.1837,4.485,43.9051,normal
0.3878,0.4512,5.0832,9.1164,normal
0.3461,0.4569,5.1419,7.1712,normal
0.2628,0.4452,5.0309,7.6794,normal
0.156,0.4481,4.9314,19.6751,normal
0.323,0.4069,5.1434,16.9508,normal
0.3151,0.1967,5.2151,8.5869,normal
0.1513,0.4405,5.1503,18.1013,normal
0.2155,0.4344,5.1926,18.0435,normal
0.1478,0.4375,5.0687,17.7755,normal
0.1716,0.4267,4.8101,4.4544,normal
0.3194,0.4313,4.9701,4.7931,normal
0.2842,0.4308,4.9911,4.9978,normal
0.2722,0.438,4.9697,4.3021,normal
0.2817,0.4376,4.9395,4.339,normal
0.2128,0.251,4.5208,46.2941,normal
0.3258,0.2532,4.4543,67.8909,normal
0.5729,0.4112,4.5866,7.3714,normal
0.5064,0.4017,4.6648,9.1106,normal
0.2533,0.4568,4.8423,6.5492,normal
0.1617,0.4113,4.7148,6.7505,normal
0.222,0.2434,4.5642,7.209,normal
0.2036,0.2562,4.5779,6.1622,normal
0.0917,0.1673,5.1483,20.2758,normal
0.0797,0.1724,5.1919,26.0567,normal
0.2651,0.1479,5.1912,26.5177,normal
0.4796,0.1313,5.0124,29.5802,normal
0.4144,0.1632,5.2552,34.2057,normal
0.3283,0.1487,5.0605,31.2928,normal
0.2203,0.1297,4.9673,31.9411,normal
0.0808,0.748,5.1663,24.3989,normal
0.0926,0.1677,5.2638,27.2748,normal
0.1135,0.5112,4.8783,13.182,normal
0.106,0.5268,5.0246,17.7169,normal
0.0832,0.4763,3.6468,2.4837,normal
0.0525,0.471,4.8839,16.0524,normal
0.2216,0.4817,4.8353,22.1977,normal
0.1508,0.4373,5.2955,20.732,normal
0.1657,0.4004,4.9351,23.8064,normal
0.1752,0.4672,5.2695,28.2742,normal
0.1825,0.438,5.1851,17.0917,normal
0.2152,0.4825,5.2923,32.1387,normal
0.1216,0.6949,5.1014,14.0788,normal
0.1755,0.4828,5.1865,30.7957,normal
0.1985,0.498,5.0358,22.2489,normal
0.1592,0.4446,5.3,28.7884,normal
0.1515,0.447,5.3446,29.6333,normal
